"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",5.54046394688617e-06,-1.86255733357971e-08,3.63455942776874e-07,-1.28922563540298e-07,1.51828449802372e-06,1.1224784471586e-05,-9.58308229524657e-07
"h2Y",-1.86255733357971e-08,3.48814182621579e-08,7.26274257890475e-09,-6.16134660339048e-08,2.35321958906164e-08,4.75623644163671e-07,-1.12789648011628e-08
"tX",3.63455942776874e-07,7.26274257890475e-09,3.07936765879122e-06,1.18956365008359e-06,3.46597774749502e-07,-2.15929257967644e-06,-6.23878547808789e-07
"tY",-1.28922563540298e-07,-6.16134660339048e-08,1.18956365008359e-06,2.04818026208999e-06,-2.25487649545855e-07,-6.81098007952857e-06,-3.31625363310514e-07
"axy",1.51828449802372e-06,2.35321958906164e-08,3.46597774749502e-07,-2.25487649545855e-07,2.93125472058921e-06,1.32237342539688e-06,-3.71521916322899e-07
"ayx",1.1224784471586e-05,4.75623644163671e-07,-2.15929257967644e-06,-6.81098007952857e-06,1.32237342539688e-06,0.000207485395779062,-1.28526772973973e-05
"iXY",-9.58308229524657e-07,-1.12789648011628e-08,-6.23878547808789e-07,-3.31625363310514e-07,-3.71521916322899e-07,-1.28526772973973e-05,1.5852214742055e-06
