"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.110018174638039,0.110202036567594,0.00235381901319667,0.0332047033630832,5.54046394688617e-06,927.056779120039,-1850.11355824008,TRUE,0.1049413,0.1104165,0.004141212,0.001555242,0.07275128,0.92724872,966.2577,-1924.5154,-1.23771931486562,0.215820154781771,0.0449369560463961,0.175099393229682,"FALSE"
"h2Y",0.0224810657199084,0.0225014183763198,0.000186765677420017,0.00263465410142763,3.48814182621579e-08,1433.84470529607,-2863.68941059215,TRUE,0.02252312,0.02220801,0.0001355241,0.0002339943,0.8665346,0.1334654,1449.651,-2891.302,1.16531612348292,0.243891054949755,0.0173171436811103,0.0276449877587066,"FALSE"
"tX",0.116894223408081,0.117111930672827,0.00175481271330909,0.0247546796404125,3.07936765879122e-06,985.792176305833,-1967.58435261167,TRUE,0.1163524,0.117501,0.002062136,0.00101795,0.5282547,0.4717453,992.2754,-1976.5508,-0.49945612053858,0.61745809170974,0.0683750513128729,0.16541339550329,"FALSE"
"tY",0.0522041487525343,0.0523372436054296,0.00143114648519639,0.0201888056148923,2.04818026208999e-06,1026.5694311476,-2049.1388622952,TRUE,0.05123589,0.05233523,0.002287085,0.001208976,0.1192316,0.8807684,1031.872,-2055.744,-0.424953792138651,0.670870359850639,0.0126340897473454,0.0917742077577232,"FALSE"
"axy",-0.105770836917712,-0.105707588854937,0.00171209074543063,0.0241520121190192,2.93125472058921e-06,990.721546973177,-1977.44309394635,TRUE,-0.1143913,-0.1056381,0.002542921,0.001303887,0.01516371,0.98483629,1027.233,-2046.466,-3.06300035059102,0.00219129803149535,-0.15310878067099,-0.0584328931644347,"FALSE"
"ayx",-0.222719627427285,-0.22672732573794,0.014404353362059,0.20319840983638,0.000207485395779062,564.758507797229,-1125.51701559446,TRUE,-0.2295312,-0.2038985,0.008936324,0.008590198,0.734263,0.265737,576.4041,-1144.8082,-2.06789716033582,0.0386496945077884,-0.620988510706588,0.175549255852019,"FALSE"
"iXY",4.10920455085032e-05,0.000205972861579889,0.00125905578677257,0.0177611675676712,1.5852214742055e-06,1052.19219044508,-2100.38438089016,TRUE,-0.0020595013,0.0003220231,0.000761466,0.001020614,0.1179617,0.8820383,1055.783,-2103.566,-1.8702462006718,0.061449636672415,-0.034770796387127,0.034852980478144,"FALSE"
