"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",1.1542614996108e-05,8.2618516871708e-05,0.110802665334141,0.0224061273062919,0.115272292823533,0.0510332691990674,-0.103341931620414,-0.188366711763585,-0.00239322587663028,1.07592182039876,1.08359024570797
"SE-JK",NA,NA,0.0332047033630832,0.00263465410142763,0.0247546796404125,0.0201888056148923,0.0241520121190192,0.20319840983638,0.0177611675676712,NA,NA
"Pval",NA,NA,0.000847010697318667,1.82552104964775e-17,3.21496133912482e-06,0.0114779612912073,1.87893045529725e-05,0.353921971173323,0.892813610598648,NA,NA
