"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",2.61428478082151e-05,-4.62111053433897e-07,-1.26478238611519e-07,-1.56095605521057e-06,4.84847484141137e-06,6.51604671322765e-06,-5.38632179306737e-07
"h2Y",-4.62111053433897e-07,5.75047279159521e-07,-4.30846820427663e-08,-7.6941522600543e-07,-5.3379083082356e-07,-4.80496039433141e-07,2.82627809198256e-07
"tX",-1.26478238611519e-07,-4.30846820427663e-08,1.30167804744905e-06,1.24658511311408e-06,5.73209358550285e-07,1.31503383501026e-06,-2.27559107909871e-07
"tY",-1.56095605521057e-06,-7.6941522600543e-07,1.24658511311408e-06,1.56729430956303e-05,-1.80318759616188e-06,-6.41409360606345e-06,-2.33914206408861e-06
"axy",4.84847484141137e-06,-5.3379083082356e-07,5.73209358550285e-07,-1.80318759616188e-06,1.00406638544271e-05,9.48601965291114e-06,-9.0273821835835e-07
"ayx",6.51604671322765e-06,-4.80496039433141e-07,1.31503383501026e-06,-6.41409360606345e-06,9.48601965291114e-06,4.64753796127503e-05,-1.3249991804359e-06
"iXY",-5.38632179306737e-07,2.82627809198256e-07,-2.27559107909871e-07,-2.33914206408861e-06,-9.0273821835835e-07,-1.3249991804359e-06,7.15411964602006e-07
