"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",8.24461115609056e-06,0.113220163010177,0.220858936547376,0.0415551228635524,0.136400385495073,0.0531141241973428,-0.294645316884429,-0.141411774328747,0.0299125041618137,1.06654868912461,1.03331315269453
"SE-JK",NA,NA,0.0721278497796434,0.0106974019534065,0.0160945311035258,0.0558472530750657,0.0447000235685732,0.096169644602324,0.0119317635308365,NA,NA
"Pval",NA,NA,0.00219828214853889,0.000102498687065984,2.35175613851584e-17,0.341573594241842,4.35069524133698e-11,0.141442393505099,0.0121773040232643,NA,NA
