"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.221833797747958,0.222813439759234,0.00511300770664538,0.0721278497796434,2.61428478082151e-05,771.907038665524,-1539.81407733105,TRUE,0.2171395,0.2231793,0.00885706,0.00168991,0.222775,0.777225,859.9478,-1711.8956,-0.669835947331021,0.502962375294336,0.0804632121798574,0.36320438331606,"FALSE"
"h2Y",0.0413627097541326,0.0414453421288153,0.000758318718718931,0.0106974019534065,5.75047279159521e-07,1153.59490503183,-2303.18981006365,TRUE,0.04098564,0.04143001,0.0015816704,0.0004448235,0.1514557,0.8485443,1189.127,-2370.254,-0.270457548985004,0.78680827133779,0.0203958019254559,0.0623296175828093,"FALSE"
"tX",0.136146292746907,0.136247423584911,0.00114091106027115,0.0160945311035258,1.30167804744905e-06,1071.89917955544,-2139.79835911089,TRUE,0.1358697,0.1362301,0.00207395,0.000595583,0.2324256,0.7675744,1104.991,-2201.982,-0.167023995891414,0.867351168139202,0.104601011783996,0.167691573709817,"FALSE"
"tY",0.0526660891026275,0.0521704986595936,0.0039589068056258,0.0558472530750657,1.56729430956303e-05,823.07101774392,-1642.14203548784,TRUE,0.05232321,0.0562119,0.001561122,0.011741876,0.91182675,0.08817325,937.1029,-1866.2058,-0.328292483595273,0.742690526767241,-0.0567945269245012,0.162126705129756,"FALSE"
"axy",-0.294506429517644,-0.294377212278378,0.00316870065711912,0.0447000235685732,1.00406638544271e-05,867.60028003419,-1731.20056006838,TRUE,-0.29443,-0.2948102,0.0007982375,0.006858263,0.7989151,0.2010849,993.2142,-1978.4284,0.055065055167995,0.956086635822228,-0.382118475712047,-0.206894383323241,"FALSE"
"ayx",-0.136504106998218,-0.135832024850446,0.00681728535509188,0.096169644602324,4.64753796127503e-05,714.372333169781,-1424.74466633956,TRUE,-0.1445828,-0.1362064,0.024830319,0.004768136,0.03553828,0.96446172,758.2275,-1508.455,-0.331292722598992,0.740423387763155,-0.324996610418773,0.0519883964223367,"FALSE"
"iXY",0.0296931322722448,0.029794086351026,0.000845820290961388,0.0119317635308365,7.15411964602006e-07,1131.75427613227,-2259.50855226454,TRUE,0.02599666,0.02975193,0.0039727181,0.0005012788,0.01565826,0.98434174,1218.618,-2429.236,-0.937828333252391,0.348332637918432,0.00630687575180533,0.0530793887926843,"FALSE"
