"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0630254076614281,0.0631309037257732,0.000387329057535437,0.00546394875190523,1.5002379881129e-07,1287.96073721074,-2571.92147442148,TRUE,0.06283398,0.06323157,0.0004396573,0.0001410477,0.5185228,0.4814772,1313.171,-2618.342,-0.861090875343636,0.389187994304309,0.0523160681076939,0.0737347472151624,"FALSE"
"h2Y",0.993810837784483,0.993823126430139,0.000835623329895413,0.0117879176932838,6.98266349465498e-07,1134.18006928929,-2264.36013857857,TRUE,0.9939051,0.9913259,0.000573877,0.001980365,0.96346165,0.03653835,1179.807,-2351.614,1.25092207215193,0.210962910150627,0.970706519105647,1.01691515646332,"FALSE"
"tX",0.0408499936348218,0.0408996295770963,0.000824321837826715,0.0116284905284944,6.79506492318013e-07,1136.90345242632,-2269.80690485263,TRUE,0.03808628,0.04089555,0.0019086606,0.0007065568,0.01621613,0.98378387,1154.148,-2300.296,-1.38031287991651,0.167490330971801,0.0180581521989727,0.0636418350706709,"FALSE"
"tY",0.0577877737650085,0.0577528297120985,0.00124654231987088,0.0175846433938987,1.55386775522908e-06,1054.18988846494,-2104.37977692988,TRUE,0.05699035,0.05787417,0.0033495911,0.0006493165,0.09775632,0.90224368,1120.083,-2232.166,-0.259036958930623,0.795606724340349,0.023321872712967,0.09225367481705,"FALSE"
"axy",-0.0468549703799353,-0.0470610888431738,0.0036238153630609,0.0511202065657571,1.31320377855562e-05,840.759115637834,-1677.51823127567,TRUE,-0.04604755,-0.04707701,0.006864366,0.001863637,0.2156869,0.7843131,879.0558,-1750.1116,0.144732380381793,0.884922172476992,-0.147050575248819,0.0533406344889487,"FALSE"
"ayx",0.255846701720676,0.256046716224695,0.00113352161522366,0.0159902901532046,1.28487125217926e-06,1073.19875129075,-2142.39750258151,TRUE,0.2525841,0.2560452,0.003128205,0.0002712953,0.05736205,0.94263795,1295.562,-2583.124,-1.10227972396023,0.270340081484994,0.224505733020395,0.287187670420957,"FALSE"
"iXY",-0.0150697437653081,-0.0150862148283234,0.00107093371303418,0.0151073791414964,1.14689901771317e-06,1084.55842394617,-2165.11684789234,TRUE,-0.01512833,-0.01417463,0.0007580504,0.0029905982,0.93857305,0.06142695,1116.63,-2225.26,-0.309123254789199,0.757227770154531,-0.0446802068826411,0.0145407193520249,"FALSE"
