"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",1.5002379881129e-07,-2.05108648732736e-08,5.37191344318778e-08,-5.17408131449393e-08,-1.12256312089416e-07,2.34001393327135e-07,-1.85067788040802e-08
"h2Y",-2.05108648732736e-08,6.98266349465498e-07,-1.24989412788486e-07,6.05326249112803e-07,-9.36393515243266e-07,-1.73108278439147e-07,-2.22727377132166e-07
"tX",5.37191344318778e-08,-1.24989412788486e-07,6.79506492318013e-07,8.85656934147572e-08,-4.88948391640652e-07,6.34069749582464e-08,-1.97109507071913e-07
"tY",-5.17408131449393e-08,6.05326249112803e-07,8.85656934147572e-08,1.55386775522908e-06,-1.11997062092296e-06,-2.12542372622817e-07,-7.5210113175704e-07
"axy",-1.12256312089416e-07,-9.36393515243266e-07,-4.88948391640652e-07,-1.11997062092296e-06,1.31320377855562e-05,8.56205985477593e-07,-1.70448812104472e-06
"ayx",2.34001393327135e-07,-1.73108278439147e-07,6.34069749582464e-08,-2.12542372622817e-07,8.56205985477593e-07,1.28487125217926e-06,-2.52848085261078e-07
"iXY",-1.85067788040802e-08,-2.22727377132166e-07,-1.97109507071913e-07,-7.5210113175704e-07,-1.70448812104472e-06,-2.52848085261078e-07,1.14689901771317e-06
