"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.000109724764673562,3.69593872964972e-06,0.0626392319804609,0.995246415582357,0.0407181599726565,0.0589985242797772,-0.0553594718492983,0.255606312265916,-0.0141125011674145,1.20885772067023,1.17200939173444
"SE-JK",NA,NA,0.00546394875190523,0.0117879176932838,0.0116284905284944,0.0175846433938987,0.0511202065657571,0.0159902901532046,0.0151073791414964,NA,NA
"Pval",NA,NA,1.99835781726138e-30,0,0.000462497628226815,0.000793316151848641,0.278840653513689,1.62318467398119e-57,0.350228471179849,NA,NA
