"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.095198630017282,0.0954849342769581,0.00123206192661671,0.0173803723093804,1.51797659101847e-06,1056.52677754604,-2109.05355509208,TRUE,0.0955825,0.09373117,0.0003393254,0.0020315886,0.7926505,0.2073495,1174.414,-2340.828,0.8988210235102,0.368748000042835,0.0611331002908965,0.129264159743667,"FALSE"
"h2Y",0.0412315447638014,0.0413626708140109,0.00091171768406945,0.0128613606571602,8.31229135444962e-07,1116.74958209221,-2229.49916418443,TRUE,0.0414208,0.03932872,0.0003625793,0.0019595774,0.90953575,0.09046425,1229.502,-2451.004,1.04979879729005,0.293810628342728,0.0160232778757675,0.0664398116518353,"FALSE"
"tX",0.0904560183111275,0.0903318053014354,0.00178340211779701,0.0251579828213394,3.18052311376285e-06,982.560034893194,-1961.12006978639,TRUE,0.09049343,0.09029054,0.001154198,0.003352237,0.8156287,0.1843713,1002.617,-1997.234,0.0572267094382203,0.954364601964566,0.0411463719813023,0.139765664640953,"FALSE"
"tY",-0.101962688343356,-0.103370675656489,0.0123645269958768,0.174423117844285,0.000152881527831765,595.298273982969,-1186.59654796594,TRUE,-0.10297696,-0.04270685,0.004225981,0.066516473,0.9831714,0.0168286,785.9944,-1563.9888,-0.904269821670507,0.365852344848883,-0.443831999318155,0.239906622631442,"FALSE"
"axy",0.276095930211896,0.276141601096894,0.00286902950295095,0.0404726417160011,8.23133028880297e-06,887.469839277196,-1770.93967855439,TRUE,0.276178,0.2756961,0.001095993,0.006485801,0.8297744,0.1702256,970.8757,-1933.7514,0.0732621166020049,0.941597537228814,0.196769552448534,0.355422307975258,"FALSE"
"ayx",0.0750185197981671,0.0751476250671235,0.00744265593265924,0.104991582229518,5.53931273319478e-05,696.819050270074,-1389.63810054015,TRUE,0.0599723,0.07545647,0.039061637,0.002350861,0.02828424,0.97171576,891.8041,-1775.6082,-0.395687559654553,0.692335534028468,-0.130764981371688,0.280802020968022,"FALSE"
"iXY",0.0170225242141595,0.0171009721682832,0.00165839786152239,0.0233945807817389,2.75028346710204e-06,997.094204806607,-1990.18840961321,TRUE,0.005475917,0.017145714,0.0101063209,0.0004882899,0.01055627,0.98944373,1224.13,-2440.26,-1.15335740037151,0.248763718965235,-0.0288308541180487,0.0628759025463677,"FALSE"
