"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",1.51797659101847e-06,-4.10310670310652e-09,-1.13230936656989e-07,-1.38899370095137e-06,-7.51751844663882e-07,-5.06518418414193e-07,2.16725983606617e-07
"h2Y",-4.10310670310652e-09,8.31229135444962e-07,1.20780902670572e-07,9.37910429146525e-07,1.06705435141076e-07,1.88474977887049e-06,-6.44027499370326e-08
"tX",-1.13230936656989e-07,1.20780902670572e-07,3.18052311376285e-06,-3.30130859207485e-06,1.33239815799653e-06,3.71952798941698e-06,6.44771014377345e-07
"tY",-1.38899370095137e-06,9.37910429146525e-07,-3.30130859207485e-06,0.000152881527831765,-1.63449704707991e-05,-1.38719915586576e-05,-1.95039450714018e-05
"axy",-7.51751844663882e-07,1.06705435141076e-07,1.33239815799653e-06,-1.63449704707991e-05,8.23133028880297e-06,4.53040166276447e-06,2.03967646480958e-06
"ayx",-5.06518418414193e-07,1.88474977887049e-06,3.71952798941698e-06,-1.38719915586576e-05,4.53040166276447e-06,5.53931273319478e-05,9.08223351158795e-07
"iXY",2.16725983606617e-07,-6.44027499370326e-08,6.44771014377345e-07,-1.95039450714018e-05,2.03967646480958e-06,9.08223351158795e-07,2.75028346710204e-06
