"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",2.06126093603128e-05,4.19429529143927e-06,0.095027460802431,0.0413023070427643,0.0898653063708259,-0.104354543887179,0.2759049104832,0.0757952609790329,0.0172161749628367,1.06250920996328,1.06264796093719
"SE-JK",NA,NA,0.0173803723093804,0.0128613606571602,0.0251579828213394,0.174423117844285,0.0404726417160011,0.104991582229518,0.0233945807817389,NA,NA
"Pval",NA,NA,4.56386451061927e-08,0.00132113761302547,0.000354212077196347,0.549650514779123,9.29147388068855e-12,0.47034519886773,0.461788878594619,NA,NA
