"","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","iX","iY"
"Parameter estimates",0.00011454578550011,2.32284912043085e-06,0.0806048891619022,0.0462969482032924,0.0702544494776374,-0.171210519598621,0.111325894902439,0.0668994296017377,0.0419579782691181,1.19810759390925,1.04336496163405
"SE-JK",NA,NA,0.00745787041888253,0.0199631538947566,0.0135037595708428,0.0411182963713632,0.0810461995965728,0.014544799989926,0.0141646187550673,NA,NA
"Pval",NA,NA,3.15368928498075e-27,0.020388534027903,1.9653600750493e-07,3.12922360230036e-05,0.169562696167845,4.23419261342728e-06,0.00305481204408157,NA,NA
