"Parameter","mean","median","se","se_JK","var","loglik_1comp","AIC_1comp","convergance_2comp","mu1","mu2","sigma1","sigma2","lambda1","lambda2","loglik_2comp","AIC_2comp","tstat","tstat_pval","ci_lower_JK","ci_upper_JK","bimod"
"h2X",0.0801917519514771,0.0803665941766037,0.000528674416933347,0.00745787041888253,2.79496639119815e-07,1225.74110444538,-2447.48220889076,TRUE,0.0798144,0.08045188,0.0006236571,0.0001893509,0.4080628,0.5919372,1268.236,-2528.472,-0.97807761035964,0.328035940509894,0.0655743259304674,0.0948091779724869,"FALSE"
"h2Y",0.0437653051138303,0.0438710442054594,0.00141515045886819,0.0199631538947566,2.00265082123486e-06,1028.81743197824,-2053.63486395648,TRUE,0.03922567,0.04389009,0.004822466,0.0009089119,0.02675164,0.97324836,1092.51,-2177.02,-0.950492458255483,0.341862084190978,0.00463752348010733,0.0828930867475533,"FALSE"
"tX",0.0703609979336417,0.0705070389462799,0.000957256135672191,0.0135037595708428,9.16339309282056e-07,1107.00145912965,-2210.00291825929,TRUE,0.06671146,0.07045486,0.003536476,0.0005120303,0.02507427,0.97492573,1205.395,-2402.79,-1.04758809781466,0.294828423486998,0.0438936291747897,0.0968283666924936,"FALSE"
"tY",-0.173611620475346,-0.173968924804724,0.00291479874796218,0.0411182963713632,8.4960517411219e-06,884.304447884071,-1764.60889576814,TRUE,-0.1557038,-0.1738377,0.01239502,0.001587575,0.01246832,0.98753168,989.3603,-1970.7206,1.45114431881722,0.146739677841041,-0.254203481363218,-0.0930197595874743,"FALSE"
"axy",0.104989956427282,0.10533421019397,0.00574521276313646,0.0810461995965728,3.30074696937061e-05,748.591214317154,-1493.18242863431,TRUE,0.10551165,0.09783976,0.004209823,0.013609451,0.93200029,0.06799971,773.4883,-1538.9766,0.538541021039445,0.590203592949613,-0.0538605947820004,0.263840507636565,"FALSE"
"ayx",0.0681219328745227,0.0680249321790745,0.0010310535343464,0.014544799989926,1.0630713906882e-06,1092.14837766424,-2180.29675532847,TRUE,0.06775482,0.06854225,0.0005652039,0.0012538251,0.5337821,0.4662179,1103.058,-2198.116,-0.572538920830755,0.566956925814145,0.0396141248942677,0.0966297408547777,"FALSE"
"iXY",0.0451118071790945,0.0451620381208211,0.00100410320115757,0.0141646187550673,1.00822323857489e-06,1097.44564214093,-2190.89128428186,TRUE,0.04504267,0.04565306,0.0010427477,0.0001188063,0.8867303,0.1132697,1103.351,-2198.702,-0.581604074962981,0.560833397491033,0.0173491544191627,0.0728744599390263,"FALSE"
