"","h2X","h2Y","tX","tY","axy","ayx","iXY"
"h2X",2.79496639119815e-07,-7.15357109842813e-08,6.18514796087965e-08,-1.09040877536009e-07,-3.91096946762166e-07,-1.08084511517212e-07,8.41370135672485e-08
"h2Y",-7.15357109842813e-08,2.00265082123486e-06,1.86141580362331e-07,8.2531681374021e-07,2.80234805447929e-06,-1.20644129541573e-07,-2.05573730237719e-07
"tX",6.18514796087965e-08,1.86141580362331e-07,9.16339309282056e-07,-1.48935630235356e-06,2.27839586143474e-06,2.09129093634851e-07,4.96589832437538e-07
"tY",-1.09040877536009e-07,8.2531681374021e-07,-1.48935630235356e-06,8.4960517411219e-06,-3.59303989586999e-06,-2.33298893950839e-07,-1.68624045425741e-06
"axy",-3.91096946762166e-07,2.80234805447929e-06,2.27839586143474e-06,-3.59303989586999e-06,3.30074696937061e-05,2.4037579283904e-07,-1.38595714138276e-06
"ayx",-1.08084511517212e-07,-1.20644129541573e-07,2.09129093634851e-07,-2.33298893950839e-07,2.4037579283904e-07,1.0630713906882e-06,-7.80013188216777e-08
"iXY",8.41370135672485e-08,-2.05573730237719e-07,4.96589832437538e-07,-1.68624045425741e-06,-1.38595714138276e-06,-7.80013188216777e-08,1.00822323857489e-06
